Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Shai Gilgeous-Alexander,47:13,12,26,.462,1,9,.111,10,14,.714,0,5,5,5,2,2,3,2,35,24.6,+3,gilgesh01
Luguentz Dort,45:15,2,12,.167,0,8,.000,2,2,1.000,2,4,6,5,1,0,1,4,6,2.9,+2,dortlu01
Cason Wallace,41:39,5,10,.500,3,8,.375,1,2,.500,1,6,7,5,4,0,2,3,14,15.4,+8,wallaca01
Chet Holmgren,38:30,11,17,.647,2,5,.400,4,4,1.000,2,5,7,2,0,0,3,6,28,19.4,-1,holmgch01
Isaiah Hartenstein,36:51,2,5,.400,0,1,.000,2,2,1.000,5,3,8,5,2,0,1,6,6,9.8,+9,harteis01
Alex Caruso,30:11,3,9,.333,2,6,.333,0,0,,0,2,2,3,2,1,0,2,8,7.5,-15,carusal01
Aaron Wiggins,20:32,4,8,.500,2,5,.400,0,0,,0,1,1,1,0,0,1,1,10,5.6,+2,wiggiaa01
Ajay Mitchell,14:36,6,12,.500,3,6,.500,1,1,1.000,1,1,2,2,0,1,0,2,16,12.3,+2,mitchaj01
Jaylin Williams,12:53,1,5,.200,0,4,.000,0,0,,0,0,0,1,1,0,0,1,2,0.2,-3,willija07
Brooks Barnhizer,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,barnhbr01
Chris Youngblood,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,youngch01
Ousmane Dieng,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,diengou01
Team Totals,290,46,104,.442,13,52,.250,20,25,.800,11,27,38,29,12,4,12,27,125,,,-9999
