Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Shai Gilgeous-Alexander,47:13,.544,.481,.346,.538,0.0,14.3,6.8,19.6,2.2,4.2,8.5,34.0,109,109,2.7,gilgesh01
Luguentz Dort,45:15,.233,.167,.667,.167,5.5,11.9,8.5,14.8,1.1,0.0,7.2,14.0,76,114,-10.6,dortlu01
Cason Wallace,41:39,.643,.650,.800,.200,3.0,19.4,10.8,17.8,5.0,0.0,15.5,14.1,120,103,3.6,wallaca01
Chet Holmgren,38:30,.746,.706,.294,.235,6.4,17.5,11.7,10.2,0.0,0.0,13.8,25.8,129,115,1.2,holmgch01
Isaiah Hartenstein,36:51,.510,.400,.200,.400,16.7,11.0,14.0,18.4,2.8,0.0,14.5,8.5,136,111,-1.7,harteis01
Alex Caruso,30:11,.444,.444,.667,.000,0.0,8.9,4.3,14.3,3.4,3.3,0.0,13.6,106,109,-0.3,carusal01
Aaron Wiggins,20:32,.625,.625,.625,.000,0.0,6.6,3.1,8.1,0.0,0.0,11.1,20.0,109,119,-3.3,wiggiaa01
Ajay Mitchell,14:36,.643,.625,.500,.083,8.5,9.2,8.8,35.8,0.0,6.8,0.0,38.9,132,115,18.5,mitchaj01
Jaylin Williams,12:53,.200,.200,.800,.000,0.0,0.0,0.0,10.8,4.0,0.0,0.0,17.7,56,112,-12.2,willija07
Brooks Barnhizer,2:15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-9.2,barnhbr01
Chris Youngblood,0:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-10.3,youngch01
Ousmane Dieng,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,diengou01
Team Totals,290,.543,.505,.500,.240,23.4,62.8,42.2,63.0,10.7,6.9,9.4,100.0,111.4,110.5,,-9999
